timestamp,freq_hz,power_dbm
2026-06-08T00:00:00Z,2401000000,-98
2026-06-08T00:00:00Z,2412000000,-72
2026-06-08T00:00:00Z,2437000000,-41
2026-06-08T00:00:00Z,2450000000,-95
2026-06-08T00:00:00Z,2462000000,-90
2026-06-08T00:00:00Z,2480000000,-97
2026-06-08T00:00:00Z,915000000,-88
2026-06-08T00:00:00Z,98000000,-55
2026-06-08T00:00:01Z,2401000000,-99
2026-06-08T00:00:01Z,2412000000,-70
2026-06-08T00:00:01Z,2437000000,-40
2026-06-08T00:00:01Z,2450000000,-96
2026-06-08T00:00:01Z,2462000000,-93
2026-06-08T00:00:01Z,2480000000,-98
2026-06-08T00:00:01Z,915000000,-87
2026-06-08T00:00:01Z,98000000,-54
2026-06-08T00:00:02Z,2401000000,-97
2026-06-08T00:00:02Z,2412000000,-71
2026-06-08T00:00:02Z,2437000000,-39
2026-06-08T00:00:02Z,2450000000,-94
2026-06-08T00:00:02Z,2462000000,-12
2026-06-08T00:00:02Z,2480000000,-96
2026-06-08T00:00:02Z,915000000,-89
2026-06-08T00:00:02Z,98000000,-56
2026-06-08T00:00:03Z,2401000000,-98
2026-06-08T00:00:03Z,2412000000,-73
2026-06-08T00:00:03Z,2437000000,-42
2026-06-08T00:00:03Z,2450000000,-95
2026-06-08T00:00:03Z,2462000000,-91
2026-06-08T00:00:03Z,2480000000,-97
2026-06-08T00:00:03Z,915000000,-88
2026-06-08T00:00:03Z,98000000,-55
